,population,capacity,capacity_within,population_within,load,provision
666,475,0,0,1370257,,0.0
667,414,0,0,1388604,,0.0
668,1347,0,0,1387705,,0.0
669,1358,0,0,1324143,,0.0
670,1193,0,0,1409321,,0.0
671,2401,65000,108745000,1424824,21.920369230769232,45291.54518950437
672,1759,0,0,1438272,,0.0
673,0,0,0,1384766,,
674,391,0,0,1416224,,0.0
675,95,0,0,1413753,,0.0
676,0,0,0,1459967,,
677,20,0,0,1384550,,0.0
678,304,0,0,1437042,,0.0
679,0,0,0,1447122,,
680,1009,0,0,1382492,,0.0
681,0,0,0,1441409,,
682,1072,0,0,1448132,,0.0
683,244,0,0,1433931,,0.0
684,0,0,0,1436701,,
685,678,0,0,1379046,,0.0
686,1071,0,0,1318137,,0.0
687,926,0,0,1277726,,0.0
688,2349,0,0,1299461,,0.0
689,0,0,0,1476343,,
690,0,0,0,1396459,,
691,0,0,0,1435959,,
692,0,0,0,1467948,,
693,0,0,0,1460869,,
694,0,65000,102765000,1405434,21.622061538461537,
695,414,65000,109525000,1456236,22.40363076923077,264553.1400966184
696,524,0,0,1465113,,0.0
697,162,0,0,1443580,,0.0
698,537,0,0,1443604,,0.0
699,1696,0,0,1449202,,0.0
700,3380,0,0,1457695,,0.0
701,611,0,0,1453662,,0.0
702,875,0,0,1468263,,0.0
703,804,0,0,1455509,,0.0
704,742,0,0,1459682,,0.0
705,1179,0,0,1459333,,0.0
706,2160,0,0,1456269,,0.0
707,1844,0,0,1456269,,0.0
708,1017,0,0,1414320,,0.0
709,2247,0,0,1412645,,0.0
710,212,130000,216190000,1456634,11.204876923076924,1019764.1509433963
711,0,0,0,1441369,,
712,1336,0,0,1422414,,0.0
713,924,0,0,1417783,,0.0
714,761,0,0,1425592,,0.0
715,2741,0,0,1371625,,0.0
716,5341,0,0,1431336,,0.0
717,3008,0,0,1440070,,0.0
718,745,0,0,1455089,,0.0
719,97,65000,105625000,1438466,22.130246153846155,1088917.5257731958
720,74,0,0,1461859,,0.0
721,0,0,0,1427663,,
722,0,0,0,1418001,,
723,0,0,0,1449583,,
724,230,0,0,1447194,,0.0
725,368,0,0,1438986,,0.0
726,0,0,0,1438249,,
727,0,0,0,1439299,,
728,0,0,0,1437043,,
729,0,0,0,1439265,,
730,2314,0,0,1463942,,0.0
731,832,0,0,1467504,,0.0
732,1794,0,0,1443600,,0.0
733,6392,0,0,1384081,,0.0
734,0,0,0,1443124,,
735,575,0,0,1459076,,0.0
736,0,0,0,1438262,,
737,695,0,0,1426080,,0.0
738,313,0,0,1460667,,0.0
739,416,0,0,1480973,,0.0
740,497,0,0,1409805,,0.0
741,2377,0,0,1423978,,0.0
742,1132,0,0,1395810,,0.0
743,2292,0,0,1394344,,0.0
744,0,0,0,1418883,,
745,0,0,0,1468246,,
746,430,0,0,1430403,,0.0
747,791,0,0,1445346,,0.0
748,0,0,0,1438324,,
749,95,0,0,1444234,,0.0
750,1012,0,0,1436433,,0.0
751,5347,0,0,1439519,,0.0
752,0,0,0,1436475,,
753,1455,0,0,1443638,,0.0
754,0,0,0,1477189,,
755,1343,0,0,1468463,,0.0
756,0,0,0,1478116,,
757,1351,0,0,1469630,,0.0
